Celsius Use Plant Water eatable Root Sun-hours Nutrients Days2Harv FAMILY HIGHT
35-35 Food cucumber FnD fruit mid 6-8 high 72.5 Cucurbitaceae medium
21-21 Insec. dill Const. Leaf x x x 80 Apiaceae medium
30-30 Insec. basil Const. Leaf x x x 60 Lamiaceae short
x N-Fix vicia Const. Leaf deep x x x Fabaceae medium
12-23 Insec. rosemary Const. Leaf x x x 320 Lamiaceae medium
X Insec. pepermint Const. Leaf x x x x Lamiaceae medium
21-21 Insec. thyme Const. Leaf x x x 320 Lamiaceae medium
35-35 Food corn FnD fruit shallow x high 127.5 Poaceae tall
30-30 Food carrot FnD root mid 4-6 medium 92.5 Apiaceae short
x Food watermelon FnD fruit deep 6-8 x x Cucurbitaceae medium
x Insec. marigold FnD flower x x x x Asteraceae medium
35-35 Food zucchini FnD fruit x 6-8 high 83.5 Cucurbitaceae medium
30-30 Food cauliflower FnD flower shallow x high 122 Brassicaceae medium
30-30 Food onion FnD root shallow x medium 137 Liliaceae short
35-35 Food cabbage FnD Leaf shallow x high 129.5 Brassicaceae medium
30-30 Insec. laventer FnD Leaf x x x 335 Lamiaceae medium
29-29 Food parsley Const. Leaf x 3-4 medium 125 Apiaceae short
x Insec. fennel Const. flower x x medium x Apiaceae tall
5-26 Food lettuce Const. Leaf shallow 3-4 medium 94.5 Asteraceae short
x Insec. melissa Const. Leaf x x x x Lamiaceae medium
23-32 Food eggplant FnD fruit mid 6-8 high 121.5 Solanaceae medium
x Insec. mint Const. Leaf x x x x Lamiaceae medium
x N-Fix alphalpha Const. Leaf x x x x Fabaceae medium
20-20 N-Fix pea FnD fruit mid x x 95.5 Fabaceae tall
30-30 Food broccoli FnD flower shallow x high 111.5 Brassicaceae tall
30-30 Food beetroot FnD root mid 4-6 medium 75 Chenopodiaceae short
21-21 Food potato FnD root shallow 4-6 high 105 Solanaceae medium
35-35 Food melon FnD fruit x x high 107 Cucurbitaceae medium
35-35 Food pepper FnD fruit mid 6-8 high 124 Solanaceae medium
30-30 Food leek FnD root shallow x medium 112 Liliaceae short
x N-Fix chickpea FnD fruit x x x 60 Fabaceae medium
5-30 Food rocket Const. Leaf x x x 60 Brassicaceae medium
x Food salad-bowl Const. Leaf x x medium 50 x medium
21-21 Food cellery Const. Leaf shallow x medium 145 Apiaceae short
30-30 Food mangel Const. Leaf x x x 60 Chenopodiaceae medium
26-26 Food garlic FnD root shallow x medium 103.5 Liliaceae short
23-23 Food spinach Const. Leaf shallow 3-4 medium 56 Chenopodiaceae medium
30-30 Food tomato FnD fruit deep 6-8 high 132.5 Solanaceae tall
x Insec. lentil FnD fruit x x x x Fabaceae medium
21-21 Insec. sage Const. flower x x x 320 Lamiaceae medium
29-29 N-Fix beans FnD fruit mid 6-8 x 104.5 Fabaceae tall
x Food strawberry FnD fruit x x medium x  medium
x Insec. chamomile Const. flower x x x x Asteraceae medium
18-23 Insec. oregano Const. Leaf x x x 307 Lamiaceae medium
x Insec. fennel Const. root x x x x Apiaceae tall
x Insec. Glechoma Const. Leaf x x x x x medium
x Insec. tansy Const. Leaf x x x x x medium
x Insec. pennyroyal Const. flower x x x x x medium
x Food chives Const. flower x x x x x short
x Food wormwood Const. Leaf x x x x Asteraceae medium
x Insec. rue Const. Leaf x x x x x medium
x Food horseradish Const. root x x x x x medium
x Food cress Const. Leaf x x x x Brassicaceae medium
x Insec. hyssop Const. Leaf x x x x x medium
x Insec. borage Const. flower x x x x x short
x Insec. yarrow Const. Leaf x x x x Asteraceae medium
x Insec. comfrey Const. Leaf x x x x x medium
x Insec. nettle FnD Leaf x x x x x medium
x Food Radish Const. root x x x x Brassicaceae short
x Insec. Mustard Const. fruit x 3-4 x x Brassicaceae tall
